id,slug,startDate,lastTradePrice
626913,nhl-buf-tor-2025-10-25,2025-10-07T22:13:08.806654Z,1.0
626914,nhl-cbj-pit-2025-10-25,2025-10-07T22:13:08.146853Z,1.0
626917,nhl-car-dal-2025-10-25,2025-10-07T22:13:09.062515Z,1.0
626918,nhl-edm-sea-2025-10-25,2025-10-07T22:13:12.160335Z,1.0
626919,nhl-col-nj-2025-10-26,2025-10-07T22:13:10.291518Z,1.0
626923,nhl-dal-nsh-2025-10-26,2025-10-07T22:13:14.152903Z,1.0
626926,nhl-edm-van-2025-10-26,2025-10-07T22:13:34.107917Z,1.0
626928,nhl-bos-ott-2025-10-27,2025-10-07T22:13:33.2677Z,1.0
626932,nhl-ana-fla-2025-10-28,2025-10-07T22:13:34.365105Z,1.0
626937,nhl-det-stl-2025-10-28,2025-10-07T22:13:56.303979Z,1.0
626840,nhl-chi-stl-2025-10-15,2025-10-07T22:10:29.758476Z,1.0
626841,nhl-nyr-tor-2025-10-16,2025-10-07T22:10:23.08971Z,1.0
626845,nhl-edm-nyi-2025-10-16,2025-10-07T22:10:50.265478Z,1.0
626846,nhl-fla-nj-2025-10-16,2025-10-07T22:10:46.038001Z,1.0
626852,nhl-min-wsh-2025-10-17,2025-10-07T22:10:53.183581Z,1.0
626857,nhl-nyi-ott-2025-10-18,2025-10-07T22:11:10.188526Z,1.0
626858,nhl-edm-nj-2025-10-18,2025-10-07T22:11:06.528084Z,1.0
626860,nhl-nsh-wpg-2025-10-18,2025-10-07T22:11:12.717668Z,1.0
626861,nhl-sea-tor-2025-10-18,2025-10-07T22:11:12.974491Z,1.0
626862,nhl-dal-stl-2025-10-18,2025-10-07T22:11:13.995549Z,1.0
626863,nhl-min-phi-2025-10-18,2025-10-07T22:11:27.394177Z,1.0
626865,nhl-bos-col-2025-10-18,2025-10-07T22:11:28.797976Z,1.0
626868,nhl-pit-sj-2025-10-18,2025-10-07T22:11:28.54063Z,1.0
626869,nhl-van-wsh-2025-10-19,2025-10-07T22:11:30.851909Z,1.0
626872,nhl-ana-chi-2025-10-19,2025-10-07T22:11:30.594985Z,1.0
626874,nhl-min-nyr-2025-10-20,2025-10-07T22:11:50.699629Z,1.0
626875,nhl-buf-mon-2025-10-20,2025-10-07T22:11:48.539044Z,1.0
626878,nhl-sea-wsh-2025-10-21,2025-10-07T22:11:50.442579Z,1.0
626879,nhl-nj-tor-2025-10-21,2025-10-07T22:11:56.465913Z,1.0
626881,nhl-edm-ott-2025-10-21,2025-10-07T22:11:48.796328Z,1.0
626884,nhl-ana-nsh-2025-10-21,2025-10-07T22:12:06.638492Z,1.0
626886,nhl-cbj-dal-2025-10-21,2025-10-07T22:12:10.541935Z,1.0
628664,nhl-min-nj-2025-10-22,2025-10-09T15:31:18.007988Z,1.0
620949,nhl-ott-tb-2025-10-09,2025-10-03T16:31:21.271737Z,1.0
620956,nhl-dal-wpg-2025-10-09,2025-10-03T16:31:28.499628Z,1.0
620957,nhl-cbj-nsh-2025-10-09,2025-10-03T16:31:30.096Z,1.0
620958,nhl-min-stl-2025-10-09,2025-10-03T16:31:30.354451Z,1.0
620960,nhl-ana-sea-2025-10-09,2025-10-03T16:31:32.084903Z,1.0
622357,nhl-nj-tb-2025-10-11,2025-10-05T15:31:26.945132Z,1.0
622358,nhl-nyr-pit-2025-10-11,2025-10-05T15:31:27.457389Z,1.0
622364,nhl-cbj-min-2025-10-11,2025-10-05T15:31:26.689423Z,1.0
622368,nhl-ana-sj-2025-10-11,2025-10-05T15:31:28.883457Z,1.0
626096,nhl-nsh-ott-2025-10-13,2025-10-07T15:31:18.349Z,1.0
626099,nhl-det-tor-2025-10-13,2025-10-07T15:31:22.077Z,1.0
626101,nhl-fla-phi-2025-10-13,2025-10-07T15:31:24.009914Z,1.0
626102,nhl-stl-van-2025-10-13,2025-10-07T15:31:18.092711Z,1.0
626829,nhl-tb-wsh-2025-10-14,2025-10-07T22:10:03.797988Z,1.0
626830,nhl-nsh-tor-2025-10-14,2025-10-07T22:10:04.737734Z,1.0
626831,nhl-edm-nyr-2025-10-14,2025-10-07T22:10:05.066573Z,1.0
626835,nhl-car-sj-2025-10-14,2025-10-07T22:10:32.163478Z,1.0
619986,nhl-det-tor-2025-10-02,2025-10-02T16:31:16.256353Z,1.0
619987,nhl-fla-tb-2025-10-02,2025-10-02T16:31:18.472849Z,1.0
619988,nhl-nyi-phi-2025-10-02,2025-10-02T16:31:15.596839Z,1.0
619989,nhl-nj-nyr-2025-10-02,2025-10-02T16:31:16.512864Z,1.0
619990,nhl-la-uta-2025-10-02,2025-10-02T16:31:20.27189Z,1.0
619991,nhl-ott-stl-2025-10-02,2025-10-02T16:31:18.216275Z,1.0
619992,nhl-buf-pit-2025-10-03,2025-10-02T16:31:20.528453Z,1.0
619995,nhl-edm-van-2025-10-03,2025-10-02T16:31:24.137259Z,1.0
619998,nhl-nj-phi-2025-10-04,2025-10-02T16:31:26.241105Z,1.0
