kalshi_ticker,poly_slug,date,poly_result,kalshi_result,poly_price,matching
KXNHLGAME-25DEC03BUFPHI-PHI,nhl-buf-phi-2025-12-03,2025-11-06T16:31:20.351794Z,yes,yes,1.0,1
KXNHLGAME-25DEC03DALNJ-DAL,nhl-dal-nj-2025-12-03,2025-11-06T16:31:19.831483Z,yes,yes,1.0,1
KXNHLGAME-25DEC02DALNYR-NYR,nhl-dal-nyr-2025-12-02,2025-11-05T16:31:17.870497Z,yes,yes,1.0,1
KXNHLGAME-25DEC02BOSDET-DET,nhl-bos-det-2025-12-02,2025-11-05T16:31:21.58101Z,yes,yes,1.0,1
KXNHLGAME-25DEC01ANASTL-ANA,nhl-ana-stl-2025-12-01,2025-11-04T16:31:08.629944Z,yes,yes,1.0,1
KXNHLGAME-25DEC01CBJNJ-CBJ,nhl-cbj-nj-2025-12-01,2025-11-04T16:31:09.143537Z,yes,yes,1.0,1
KXNHLGAME-25NOV30ANACHI-CHI,nhl-ana-chi-2025-11-30,2025-11-03T16:31:23.082016Z,yes,yes,1.0,1
KXNHLGAME-25NOV29BUFMIN-BUF,nhl-buf-min-2025-11-29,2025-11-03T16:31:22.314344Z,yes,yes,1.0,1
KXNHLGAME-25NOV29EDMSEA-EDM,nhl-edm-sea-2025-11-29,2025-11-03T16:31:20.390245Z,yes,yes,1.0,1
KXNHLGAME-25NOV28TORWSH-WSH,nhl-tor-wsh-2025-11-28,2025-11-01T15:31:21.442314Z,yes,yes,1.0,1
KXNHLGAME-25NOV28OTTSTL-STL,nhl-ott-stl-2025-11-28,2025-11-01T15:31:21.952765Z,yes,yes,1.0,1
KXNHLGAME-25NOV28COLMIN-MIN,nhl-col-min-2025-11-28,2025-11-01T15:31:19.637546Z,yes,yes,1.0,1
KXNHLGAME-25NOV26DALSEA-DAL,nhl-dal-sea-2025-11-26,2025-10-30T15:31:22.048166Z,yes,yes,1.0,1
KXNHLGAME-25NOV26BUFPIT-PIT,nhl-buf-pit-2025-11-26,2025-10-30T15:31:18.081039Z,yes,yes,1.0,1
KXNHLGAME-25NOV26BOSNYI-BOS,nhl-bos-nyi-2025-11-26,2025-10-30T15:31:18.847195Z,yes,yes,1.0,1
KXNHLGAME-25NOV26WPGWSH-WSH,nhl-wpg-wsh-2025-11-26,2025-10-30T15:31:19.612304Z,yes,yes,1.0,1
KXNHLGAME-25NOV25DALEDM-DAL,nhl-dal-edm-2025-11-25,2025-10-29T15:31:04.587995Z,yes,yes,1.0,1
KXNHLGAME-25NOV24FLANSH-FLA,nhl-fla-nsh-2025-11-24,2025-10-28T15:31:18.093569Z,yes,yes,1.0,1
KXNHLGAME-25NOV24PHITB-TB,nhl-phi-tb-2025-11-24,2025-10-28T15:31:14.965447Z,yes,yes,1.0,1
KXNHLGAME-25NOV24DETNJ-NJ,nhl-det-nj-2025-11-24,2025-10-28T15:31:17.835075Z,yes,yes,1.0,1
KXNHLGAME-25NOV24CBJWSH-WSH,nhl-cbj-wsh-2025-11-24,2025-10-28T15:31:12.905313Z,yes,yes,1.0,1
KXNHLGAME-25NOV23BOSSJ-SJ,nhl-bos-sj-2025-11-23,2025-10-27T15:31:22.80029Z,yes,yes,1.0,1
KXNHLGAME-25NOV23MINWPG-MIN,nhl-min-wpg-2025-11-23,2025-10-27T15:31:20.527124Z,yes,yes,1.0,1
KXNHLGAME-25NOV22COLNSH-COL,nhl-col-nsh-2025-11-22,2025-10-26T15:31:20.477641Z,yes,yes,1.0,1
KXNHLGAME-25NOV22NJPHI-PHI,nhl-nj-phi-2025-11-22,2025-10-26T15:31:21.008994Z,yes,yes,1.0,1
KXNHLGAME-25NOV22TBWSH-TB,nhl-tb-wsh-2025-11-22,2025-10-26T15:31:18.960361Z,yes,yes,1.0,1
KXNHLGAME-25NOV22OTTSJ-OTT,nhl-ott-sj-2025-11-22,2025-10-26T15:31:18.44384Z,yes,yes,1.0,1
